,location,date,Alpha,B.1.1.277,B.1.1.302,B.1.1.519,B.1.160,B.1.177,B.1.221,B.1.258,B.1.367,B.1.620,Beta,Delta,Epsilon,Eta,Gamma,Iota,Kappa,Lambda,Mu,Omicron,S:677H.Robin1,S:677P.Pelican,non_who,others
84,Australia,2022-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.73,0.0,0.0,0.0,0.0
85,Austria,2020-11-09,0.0,0.55,0.0,0.0,37.57,10.5,0.55,13.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37.02
86,Austria,2020-11-23,0.0,0.63,0.0,0.0,30.19,13.21,1.89,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.33
87,Austria,2020-12-07,1.46,0.73,0.0,0.0,18.98,7.3,5.11,22.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.54,43.79
88,Austria,2021-01-04,13.97,0.0,0.0,0.0,25.94,13.53,0.67,25.06,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.81,20.61
89,Austria,2021-01-25,39.6,0.4,0.0,0.0,4.0,3.6,0.0,6.4,0.0,0.0,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,12.4
90,Austria,2021-02-08,22.86,0.0,0.0,0.0,4.42,4.42,0.0,20.0,0.0,0.0,19.22,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.62,27.78
91,Austria,2021-02-22,57.83,0.0,0.0,0.0,2.41,4.1,0.0,12.29,0.0,0.0,3.13,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8,20.0
92,Austria,2021-03-08,66.38,0.0,0.0,0.0,0.86,2.8,0.22,4.53,0.0,0.0,10.99,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.77,13.36
93,Austria,2021-03-22,85.21,0.0,0.0,0.0,0.35,1.76,0.0,2.64,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.97,7.22
94,Austria,2021-04-05,92.78,0.0,0.0,0.0,0.0,1.37,0.0,1.03,0.0,0.0,1.37,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,3.11
95,Austria,2021-04-19,87.54,0.0,0.0,0.0,0.28,1.42,0.0,1.7,0.0,0.0,3.4,0.57,0.0,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,7.93,4.53
96,Austria,2021-05-03,88.15,0.0,0.0,0.0,1.22,0.3,0.0,0.61,0.0,0.0,0.61,1.52,0.0,0.91,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8.51,6.38
97,Austria,2021-05-17,88.05,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.16,0.48,0.0,0.0,0.97,0.0,0.0,0.0,4.52,0.0,0.0,0.0,5.82,5.5
98,Austria,2021-05-31,82.78,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.77,2.83,0.0,0.0,2.83,0.0,0.0,0.0,5.14,0.0,0.0,0.0,5.65,5.39
99,Austria,2021-06-14,47.74,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.01,42.96,0.0,0.0,2.51,0.0,0.0,0.0,0.25,0.0,0.0,0.0,5.53,5.28
100,Austria,2021-06-28,38.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,59.07,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
101,Austria,2021-07-12,10.89,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,88.32,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.19
102,Austria,2021-07-26,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Austria,2021-08-09,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,98.88,0.0,0.0,0.32,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Austria,2021-08-23,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,99.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.16
105,Austria,2021-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,99.66,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Austria,2021-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Austria,2021-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Austria,2021-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Austria,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Austria,2021-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Austria,2021-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,0.0
112,Austria,2021-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46,0.0,0.0,0.0,0.0
113,Austria,2021-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.62,0.0,0.0,0.56,0.56
114,Austria,2022-01-10,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,22.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.67,0.0,0.0,3.99,3.72
115,Austria,2022-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.4,0.0,0.0,0.8,0.8
116,Bahrain,2021-07-26,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.17,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95
117,Bahrain,2021-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Bahrain,2021-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
